,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,21900970,"MAR 11, 2020",CHA @ MIA,19,3,4,7,1,12,4,3,6,0,8,8,15
1,21900957,"MAR 09, 2020",CHA @ ATL,23,4,3,0,0,10,8,5,6,2,2,2,2
2,21900940,"MAR 07, 2020",CHA vs. HOU,6,2,0,0,2,4,2,2,3,1,0,0,-4
3,21900926,"MAR 05, 2020",CHA vs. DEN,8,0,0,0,1,3,2,1,1,0,4,3,-8
4,21900909,"MAR 03, 2020",CHA vs. SAS,12,1,1,3,2,9,5,2,4,0,0,0,8
5,21900895,"MAR 01, 2020",CHA vs. MIL,5,1,1,4,1,6,2,1,2,0,0,0,13
6,21900879,"FEB 28, 2020",CHA @ TOR,0,3,0,5,0,1,0,0,0,1,0,0,7
7,21900864,"FEB 26, 2020",CHA vs. NYK,5,0,0,2,1,4,2,1,3,0,0,0,-6
8,21900857,"FEB 25, 2020",CHA @ IND,11,2,0,3,2,10,4,3,4,1,0,0,-11
9,21900836,"FEB 22, 2020",CHA vs. BKN,0,2,0,1,1,0,0,0,0,0,0,0,-7
10,21900813,"FEB 12, 2020",CHA @ MIN,8,1,1,3,0,7,3,1,2,0,2,1,6
11,21900793,"FEB 10, 2020",CHA @ DET,5,0,1,1,1,7,2,1,3,0,0,0,1
12,21900778,"FEB 08, 2020",CHA vs. DAL,0,1,0,4,0,1,0,0,0,0,0,0,-8
13,21900389,"DEC 15, 2019",CHA @ IND,2,0,0,0,0,0,0,0,0,0,2,2,0
14,21900336,"DEC 08, 2019",CHA vs. ATL,2,0,0,1,0,1,1,0,0,0,0,0,6
15,21900112,"NOV 07, 2019",CHA vs. BOS,1,0,0,1,1,1,0,0,1,0,2,1,0
16,21900040,"OCT 27, 2019",CHA @ LAL,0,0,0,1,1,0,0,0,0,0,0,0,-3
17,21900018,"OCT 25, 2019",CHA vs. MIN,4,3,1,2,1,8,2,0,2,2,1,0,-6
18,22001047,"MAY 13, 2021",CHA vs. LAC,9,1,0,0,1,7,4,1,3,0,0,0,-8
