,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21501230,"APR 13, 2016",DEN @ POR,18,5,0,13,2,1,2,0
1,21501198,"APR 10, 2016",DEN vs. UTA,19,4,2,11,1,0,2,1
2,21501186,"APR 08, 2016",DEN vs. SAS,8,4,1,15,0,0,2,1
3,21501160,"APR 05, 2016",DEN vs. OKC,7,2,0,2,0,1,3,2
4,21501141,"APR 02, 2016",DEN vs. SAC,6,5,1,13,0,0,1,2
5,21501125,"MAR 31, 2016",DEN @ NOP,9,3,1,8,1,1,3,1
6,21501114,"MAR 30, 2016",DEN @ MEM,9,1,0,14,1,1,1,1
7,21501103,"MAR 28, 2016",DEN vs. DAL,2,2,2,8,3,0,2,0
8,21501092,"MAR 27, 2016",DEN @ LAC,5,2,1,9,0,0,1,0
9,21501081,"MAR 25, 2016",DEN @ LAL,8,4,0,12,1,0,2,0
10,21501064,"MAR 23, 2016",DEN vs. PHI,18,5,1,8,1,0,0,0
11,21501044,"MAR 21, 2016",DEN @ CLE,11,3,3,4,2,0,1,0
12,21501028,"MAR 19, 2016",DEN @ CHA,11,4,0,14,1,1,2,1
13,21501015,"MAR 17, 2016",DEN @ ATL,8,2,1,5,1,0,1,1
14,21500998,"MAR 15, 2016",DEN @ ORL,14,4,1,6,2,1,1,1
15,21500990,"MAR 14, 2016",DEN @ MIA,12,4,2,8,1,1,2,1
16,21500980,"MAR 12, 2016",DEN vs. WAS,0,3,0,5,2,0,0,0
17,21500961,"MAR 10, 2016",DEN vs. PHX,18,4,2,10,0,1,2,3
18,21500946,"MAR 08, 2016",DEN vs. NYK,20,3,1,9,1,0,1,1
19,21500933,"MAR 06, 2016",DEN vs. DAL,13,3,2,12,3,0,2,1
20,21500920,"MAR 04, 2016",DEN vs. BKN,15,4,1,12,2,0,2,1
21,21500906,"MAR 02, 2016",DEN vs. LAL,14,3,0,6,1,1,2,2
22,21500888,"FEB 29, 2016",DEN vs. MEM,10,3,1,6,3,0,0,1
23,21500866,"FEB 26, 2016",DEN @ DAL,5,2,0,4,1,0,0,0
24,21500853,"FEB 24, 2016",DEN @ LAC,7,3,1,11,3,1,4,1
25,21500842,"FEB 23, 2016",DEN vs. SAC,13,6,2,13,2,1,2,0
26,21500825,"FEB 21, 2016",DEN vs. BOS,23,4,2,13,4,1,2,0
27,21500816,"FEB 19, 2016",DEN @ SAC,0,0,0,1,1,0,0,0
28,21500794,"FEB 10, 2016",DEN @ DET,5,2,1,6,1,0,1,0
29,21500778,"FEB 08, 2016",DEN @ BKN,2,0,1,3,1,0,1,0
30,21500770,"FEB 07, 2016",DEN @ NYK,13,0,1,6,1,1,1,0
31,21500757,"FEB 05, 2016",DEN vs. CHI,16,3,0,12,1,2,2,2
32,21500743,"FEB 03, 2016",DEN @ UTA,8,4,2,6,0,1,2,0
33,21500727,"FEB 01, 2016",DEN vs. TOR,27,4,0,14,2,1,3,1
34,21500709,"JAN 30, 2016",DEN @ IND,16,2,5,11,3,1,2,0
35,21500693,"JAN 28, 2016",DEN @ WAS,15,3,1,10,0,0,1,1
36,21500685,"JAN 27, 2016",DEN @ BOS,3,4,1,7,3,0,0,1
37,21500672,"JAN 25, 2016",DEN vs. ATL,15,3,2,10,0,0,1,1
